entity:ID,name,:LABEL
e0,nan,my_entity
e1,1937年11月26日,my_entity
e2,段祥照,my_entity
e3,Corps,my_entity
e4,40米～45米,my_entity
e5,努里·卡迈勒·马利基,my_entity
e6,70毫米,my_entity
e7,企业级航空母舰,my_entity
e8,图尔维尔级导弹驱逐舰,my_entity
e9,徐潘生,my_entity
e10,;1999年,my_entity
e11,林恒富,my_entity
e12,Bugler,my_entity
e13,1930年6月16日,my_entity
e14,;0.59公斤,my_entity
e15,45发/分,my_entity
e16,1897年4月28日,my_entity
e17,抗日自卫队队长,my_entity
e18,清军2.5万至3万人，英法联军8000余人,my_entity
e19,1350公里,my_entity
e20,1140g,my_entity
e21,1949年11月25日;,my_entity
e22,LGM-30G民兵3式导弹,my_entity
e23,潘焕新,my_entity
e24,79.24米,my_entity
e25,1981年5月13日,my_entity
e26,1922年11月22日,my_entity
e27,装甲兵技术,my_entity
e28,普列姆基诺,my_entity
e29,1988年5月30日,my_entity
e30,1864年5月12日,my_entity
e31,1942年3月16日,my_entity
e32,京都伊势氏家庭,my_entity
e33,M4A1、AWM、马来剑、AK47,my_entity
e34,1986年12月,my_entity
e35,1941年3月26日深夜,my_entity
e36,穷人核弹,my_entity
e37,汪火香,my_entity
e38,阮明发,my_entity
e39,+619（浮动）,my_entity
e40,红十军连长,my_entity
e41,核裁军国际会议,my_entity
e42,SMAW-D83mm火箭筒,my_entity
e43,1778年,my_entity
e44,卡-135,my_entity
e45,通用电气,my_entity
e46,美国陆军上将,my_entity
e47,纳塔利亚共和国,my_entity
e48,南斯拉夫游击战,my_entity
e49,1948年11月,my_entity
e50,增强火力支援,my_entity
e51,马空北,my_entity
e52,军事、团队、组织、战争,my_entity
e53,法国北部泥泞又充满壕沟的战场,my_entity
e54,920年5月,my_entity
e55,张达征,my_entity
e56,创办庆丰纺织养成所,my_entity
e57,荣成市崖西镇北柳村,my_entity
e58,;T75式（仿M9）9毫米手枪,my_entity
e59,张本芝,my_entity
e60,精确制导武器,my_entity
e61,高流民古,my_entity
e62,惩戒行动,my_entity
e63,受洛真,my_entity
e64,中、苏、美、英等26国,my_entity
e65,胡以晄,my_entity
e66,Conte Di Cavour Class,my_entity
e67,30节(改装后28节);,my_entity
e68,D2坦克,my_entity
e69,格洛克（Glock）公司,my_entity
e70,高素明,my_entity
e71,苍山县西沙埠村,my_entity
e72,金步池,my_entity
e73,34发或42发,my_entity
e74,T30E1,my_entity
e75,洪立洋,my_entity
e76,孙羽 王薇,my_entity
e77,SA80A2c型卡宾枪,my_entity
e78,126.34平方米,my_entity
e79,陈乞食仔,my_entity
e80,稚圭,my_entity
e81,李南飞,my_entity
e82,军长,my_entity
e83,谭丙生,my_entity
e84,四川峨眉,my_entity
e85,美国伍兹霍尔海洋研究所,my_entity
